,0
gpu_tier,0.25093848843820177
ram_gb,0.18631196364180547
cpu_tier,0.10696021799425937
megapixels,0.0762995162510465
os_macOS,0.07229022048274777
brand_Apple,0.03371992824441983
display_type_OLED,0.03029193262534855
storage_gb,0.018982690403816747
release_year,0.014784976874565725
display_size_in,0.014281945782088745
cpu_threads,0.013677893283981012
display_type_LED,0.010442370376513698
refresh_hz,0.00944330698214888
storage_type_HDD,0.009195407459147643
display_type_Mini-LED,0.006514051999039072
form_factor_Ultrabook,0.006369968591083408
brand_Razer,0.004861136253153431
brand_Acer,0.004665395347457579
display_type_IPS,0.00438070306000129
form_factor_Workstation,0.00410810147681937
battery_wh,0.002860978678345516
vram_gb,0.002252977332126238
cpu_base_ghz,0.0021665237016068595
weight_kg,0.002113530981309397
form_factor_Gaming,0.0018960518051659215
display_type_VA,0.0017184268832160176
os_Windows,0.0016936016278028764
display_type_QLED,0.0015625467487786482
form_factor_SFF,0.00108241067007675
brand_Samsung,0.000973404865889016
